$$	money
poi	point of interest
poidnh	Pics or it did not happen 
pol	parent over looking
poms	parent over my shoulder
poontang	female genitalia
pooter	Computer
popo	police
poq	Piss Off Quick
pos	Parent Over Shoulder
poscs	parents over sholder change subject
posmbri	parent over shoulder might be reading it
potc	pirates of the caribbean
pots	Plain Old Telephone Service
pov	point of view
pow	prisoner of war
pp	pee pee
ppl	people
ppls	people
pplz	people
ppor	post proof or recant
ppppppp	Prior Proper Planning Prevents Piss Poor Performance
pr0	professional
pr0n	porn
pr0nz	porn
prblm	Problem
prd	period
preggers	pregnant
prego	Pregnant
prfct	perfect
prn	porn
prncpl	principal
prncss	princess
prnoscrn	porn on screen
pro	professional
prob	problem
probly	probably
probz	probably
prod	product
prolly	Probably
prollz	probably
pron	porn
proxie	proxy
prp	please reply
prsn	person
prty	party
prv	private
prvrt	pervert
prw	parents are watching
ps1	Play Station 1
ps2	Play Station 2
ps3	Play Station 3
psa	Public Service Announcement
psbms	parent standing by my side
psn	playstation netwok
psos	parent standing over sholder
psp	playstation portable
pst	please send tell
pt33n	preteen
ptl	Praise the Lord
pto	Personal Time Off 
ptw	play to win 
puh	leaze
purty	pretty
puter	Computer
pvp	player versus player
pvt	pervert
pw	parent watching
pwcb	parents watching close by
pwn	made to look bad
pwn3d	owned
pwn3r	owner
pwnage	Ownage
pwnd	owned
pwned	made to look bad
pwner	owner
pwnt	owned
pwnz	owns
pwnzor	owner
pwob	Parent watching over back
pwoms	parent watching over my shoulder
pwor	power
pwos	parent was over sholder
pww	parents were watching
pxr	punk rocker
pyfco	put your freaking clothes on
pyt	pretty young thing
pz	peace
pzled	puzzled
p^s	parent over shoulder
q4u	question for you
qed	I've made my Point
qfe	quoted for emphasis
qft	quoted for truth
qft&gj	quoted for truth and great justice
ql	cool
qltm	quietly laughing to myself
qna	question and answer
qool	cool
qoolz	cool
qotd	quote of the day
qotsa	queens of the stone age
qoty	quote of the year
qpr	quite pathetic really
qq	crying eyes
qt	cutie
qt3.14	cutie pie
qte	cutie
qtpi	cutie pie
r	are
rip	rest in peace
r0x0rz	rocks
r8	rate
r8t	rate
ra2	red alert 2 (game)
ra3	Red Alert 3 (game)
rawk	Rock
rawks	rocks
rawr	roar
rb@u	right back at you
rbau	right back at you
rbay	right back at you
rbm	right behind me
rbtl	Read between the lines
rbty	right back to you
rcks	Rocks
rcsa	right click save as
rcvd	received
rdy	ready
re	reply
reefer	marijuana
refl	rolling on the floor laughing
rele	really
rents	parents
rentz	parents
rep	to represent
reppin	representing
retrotextual	One who is using out of date words and abbreviations while texting.
rgr	roger
rhcp	red hot chilli peppers
rhgir	really hot guy in room
rhs	right hand side
ricl	rolling in chair laughing
rifk	rolling on the floor laughing
rino	republican in name only
rite	right
rjct	reject
rl	real life
rlbf	Real Life Boy Friend
rlf	Real Life Friend
rlg	really loud giggle
rlgf	Real Life Girl Friend
rlly	really
rln	real life name
rly	really
rlz	rules
rlze	realize
rm	room
rme	rolling my eyes
rmr	remember
rmso	Rock My socks off
rn	Right now
rnt	aren't
ro	rock out
rockr	rocker
rodger	affirmative
rofalol	roll on the floor and laugh out loud
rofc	Rolling On Floor Crying
roffle	rolling on the floor laughing
roffle out loud	rolling on the floor laughing out loud
rofflecake	rolling on the floor laughing
rofflecopters	rolling on the floor with laughter
roffleol	rolling on the floor laughing out loud
roffles	rolling on floor laughing
rofl	rolling on the floor laughing
rofl&pmp	rolling on floor laughing and peeing my pants
roflastc	Rolling On Floor Laughing And Scaring The Cat
roflcopter	Rolling on the floor laughing
roflcopters	rolling on the floor laughing
roflkmd	rolling on the floor laughing kicking my dog
roflmgo	Rolling On Floor Laughing My Guts Out
roflmho	Rolling on the floor laughing my head off
roflmiaha	Rolling on the floor laughing myself into a heart attack
roflol	rolling on floor laughing out loud
roflolbag	Rolling On The Floor Laughing Out Loud Busting A Gut
roflpimp	rolling on the floor laughing pissing in my pants
roflpmp	rolling on the floor laughing peeing my pants
roflwtime	Rolling on the Floor laughing with tears in my eyes
rofpml	rolling on the floor pissing myself laughing
rofwl	Rolling on the floor while laughing
roger	affirmative
rogl	rolling on ground laughing
roi	Return On Investment
roids	steroids
roj	affirmative
rol	rolling over laugihng
rombl	rolled off my bed laughing
rong	wrong
roofles	rolling on the floor laughing
ror	raughing out roud
rotf	rolling on the floor
rotfalol	roll on the floor and laugh out loud
rotfl	rolling on the floor laughing
rotflaviab	rolling on the floor laughing and vomiting in a bucket
rotflmho	rolling on the floor laughing my head off
rotflol	rolling on the floor laughing out loud
rotfpm	rolling on the floor pissing myself
rotg	rolling on the ground
rotgl	roll on the ground laughing
rotw	rest of the world
rox	rocks
roxor	rock
roxorz	rocks
roxxor	rock
rp	roleplay
rpg	role playing game
rplbk	reply back
rpo	royally pissed off
rq	real quick
rr	rest room
rrb	restroom break
rsn	real soon now
rsp	respawn
rspct	respect
rsps	Runescape Private Server
rta	read the article
rtard	retard
rtbq	Read The Blinking Question
rtf	return the favor
rtg	ready to go
rtl	report the loss
rtm	read the manual
rtr	Read the Rules
rtry	retry
rts	Real
ru	are you
ru18	are you 18
rua	are you alone
ruabog	are you a boy or girl
ruagoab	are you a girl or a boy
rugta	are you going to answer
ruk	are you ok?
rukm	are you kidding me
rumf	Are you male or female
ruok	are you ok?
rur	are you ready
rut	are you there
ruwm	are you watching me
ryt	right
ryte	right
*s*	smile
s'ok	it's okay
s'pose	suppose
s'up	what is up
s.i.n.g.l.e	Stay intoxicated nightly
s.i.t.	stay in touch
s.w.a.k.	sealed with a kiss
s/b	should be
s2a	sent to all
s2bu	Sucks to be you
s2r	send to receive
s2u	same to you
s2us	Speak to you soon
s4se	Sight For Sore Eyes
s8ter	skater
sagn	Spelling and Grammar Nazi
sahm	stay at home mom
sbc	sorry bout caps
sbcg4ap	strongbads cool game for attractive people
sbd	silent but deadly
sblai	stop babbaling like an idiot
sbrd	so bored
sbt	sorry bout that
scnr	sorry
scool	school
scrilla	money
scrt	secret
scurred	scared
sdk	Software Development Kit
sdlc	Software Development Life Cycle
sec	second
sed	said
see through your eyes	stye
sellin	selling
seo	Search Engine Optimization
serp	search engine results page
sez	says
sfam	Sister from another mother
sfe	safe
sfipmp	so funny I peed my pants
sfsg	So far so good
sfw	safe for work
sfwuz	safe for work until zoomed
sfy	speak for yourself
sg	so good
sgbadq	Search google before asking dumb questions
sgi	Still got it
sgtm	slightly gigling to myself
shawty	girl
shd	should
shld	should
shmily	see how much i love you
sho	sure
sho'nuff	sure enough
showin	showing
shrn	so hot right now
shud	should
shuddup	Shut Up
shup	shut up
shure	sure
shut^	shut Up
shwr	shower
siao	school is almost over
sibir	sibling in room
sic	said in context
sicl	sitting in chair laughing
sif	as if
sifn't	as if not
sig	Signature
siggy	Signature
simcl	sitting in my chair laughing
siol	Shout It Out Loud
sis	sister
sista	Sister
sitmf	say it to my face
siu	suck it up
sk	spawn kill
sk8	skate
sk8er	skater
sk8ing	Skating
sk8r	skater
sk8ter	skater
sk8tr	skater
sked	schedule
skewl	school
skhool	school
skillz	skills
skl	School
skool	school
skoul	school
sktr	skater
skwl	school
sl4n	so long for now
sleepin	sleeping
sleepn	sleeping
slng	slang
slo	slow
slore	slutty whore
slos	someone looking over shoulder
slp	sleep
slt	something like that
sl^t	Slut 
sm	social media
sm1	someone
smb	see my blog
smbt	Suck my big toe
smh	shaking my head
smho	Screaming My Head Off
smithwaws	Smack me in the head with a wooden spoon
smst	somebody missed snack time
smthin	something
smthng	something
smtm	sometime
smto	Sticking My Tongue Out
smtoay	Sticking my tongue out at you
sn	screen name
snes	Super Nintendo Entertainment System
snew	what's new
snf	so not fair
snl	Saturday Night Live
snm	say no more
snog	kiss
snogged	kissed
soa	service oriented architecture 
soab	son of a btch
soad	system of a down
soc	Same old crap
soe	service oriented enterprise
sof	smile on face
sofas	stepping out for a smoke
soi	service oriented infrastructure
sok	It's ok
sokay	it's okay
som'm	something
som1	someone
some1	someone
soml	story of my life
soo	So
sop	same old place
sorreh	sorry
sorta	sort of
sosg	spouse over shoulder gone
sot	suck on this
sotc	stupid off topic crap
sowi	sorry
sowwy	sorry
soz	sorry
spk	speak
sploits	exploits
sploitz	exploits
sqtm	snickering quietly to myself
srch	search
srly	seriously
sroucks	that's cool
srry	sorry
srs	serious
srsly	seriously
srvis	Service
sry	sorry
srynd2g	sorry need to go
srzly	seriously
ss	screenshot
ss4l	smoking sista for life
ssia	subject says it all
ssl	secure sockets layer
ssry	so sorry
st	Stop That
st1	stoned
st8	state
stb	soon to be
stbx	soon to be ex
stby	sucks to be you
steamloller	Laughing. Alot.
stff	stuff
stg	swear to god
sth	something
sthing	something
stm	smiling to myself
stoopid	stupid
stpd	stupid
str8	straight
str8up	straight up
sts	so to speak
stsp	Same Time Same Place
stt	Same time tomorrow
stupd	stupid
stw	share the wealth 
stys	speak to you soon
su	shut up
suabq	shut up and be quiet
suagooml	shut up and get out of my life
suib	shut up im busy
suk	suck
suka	Sucker
sukz	sucks
sul	see you later
sum1	someone
sumfin	Something
summin	something
sumone	someone
sumthin'	Something
sumtin	something
sup	what's up
supa	super
supposably	Supposedly
sus	see you soon
sut	see you tomorrow
sutuct	so you think you can type
sux	sucks
sux0rz	sucks
sux2bu	sucks to be you
suxor	Sucks
suxors	sucks
suxorz	sucks
suxx	sucks
suxxor	sucks
svn	seven
svu	special victims unit
sw	so what
swafk	sealed with a friendly kiss
swak	sealed with a kiss
swalk	sealed with a loving kiss
swf	single white female
swm	single white male
swmbo	she who must be obeyed
swmt	Stop Wasting My Time 
swp	sorry wrong person
swsw2b	single when she wants to be
swt	sweet
sxe	straight edge
syatp	see you at the party
syiab	see you in a bit
syiaf	see you in a few
syl	see you later
syl8r	see you later
sym	shut your mouth
syotbf	see you on the battlefield
syrs	see ya real soon
sys	see you soon
sysop	system operator
syt	see you there
sytycd	so you think you can dance 
sz	sorry
t#3	the
t	ftfy  
t.t.y.l	Talk To You Later
t/a	Try again
t2b	time to blunt
t2m	talk to me
t2u	talking to you
t2ul	talk to you later
t2ul8r	talk to you later
t3h	the
t4a	thanks for asking
t4m	Transgender for Male
t8st	taste
ta	thanks again
taci	that's a crappy idea
tafn	That's all for now
taht	that
tai	think about it
taig	That's all I got. 
tal	thanks a lot
tanq	thank you
tanstaafl	there ain't no such thing as a free lunch
tard	retard
tat	that
tat2	tattoo
tau	thinking about you
taunch	te amo un chingo
taw	Teachers are Watching
tay	thinking about you
tb	text back
tb4u	too bad for you
tba	to be anounced
tbc	To be continued
tbd	to be decided
tbf	to be fair
tbfu	too bad for you
tbh	to be honest
tbhimo	to be honest in my opinion
tbnt	thanks but no thanks
tbp	The Pirate Bay
tbph	To be perfectly honest
tbqf	to be quite frank
tbqh	to be quite honest
tbss	too bad so sad
tbtfh	to be totally freaking honest
tbvh	to be very honest
tc	take care
tcfc	Too Close For Comfort
tcfm	too cool for me
tcg	Trading Card Game
tchbo	Topic creater has been owned
tcial	The cake is a lie
tcoy	take care of yourself
tcp	transmission control protocol
tcp/ip	transmission control protocol/internet protocol
tddup	till death do us part
tdf	To Die For
tdwdtg	The Devil Went Down To Georgia
te	Team effort
teh	the
teotwawki	the end of the world as we know it
tf2	Team Fortress 2
tfb	time for bed
tffw	Too funny for words
tfic	Tongue Firmly In Cheek
tfl	Thanks For Looking
tfln	thanx for last night
tfs	thanks for sharing
tfta	thanks for the add
tfti	thanks for the information
tfu2baw	time for you to buy a watch
tg	thank god
tgfe	together forever
tgfitw	The Greatest Fans In The World
tgft	thank god for that
tgfu	too good for you
tgfuap	thank god for unanswered prayers
tghig	thank god husband is gone
tgif	thank god it's friday
tgis	thank god it's saturday
tgiwjo	Thank God It Was Just Once
tgsttttptct	thank God someone took the time to put this crap together
tgtbt	Too Good To Be True
tgwig	thank god wife is gone
tgws	that goes without saying
th@	that
tha	the
thankies	Thank You
thankx	thank you
thanq	thank you
thanx	thank you
thar	there
thatz	that's
thku	thank you
thn	then
thnk	think
thnx	thanks
tho	though
thot	the hoe of today
thr	there
thr4	therefore
thru	through
tht	that
thwdi	thats how we do it
thx	thank you
thxx	thanks
thz	thank you
ti2o	that is too obious
tia	thanks in advance
tiafayh	Thanks in advance for all your help
tiai	take it all in
tias	Try It And See
tiatwtcc	this is a trap word to catch copiers
tif	this is fun
tigger	tiger
tiic	the idiots in control
til	until
tinf	this is not fair
tinla	this is not legal advice
tinstaafl	There Is No Such Thing As A Free Lunch
tioli	take it or leave it
tis	is
tisc	that is so cool
tisly	that is so last year
tisnf	that is so not fair
tisw	that is so wrong
tiw	teacher is watching
tix	tickets
tjb	thats just boring
tk	team kill
tk2ul	talk to you later
tkd	Tae Kwon Do
tker	team killer
tks	thanks
tku	thank you
tl	Tough Luck
tl	dr  
tl8r	talk later
tl:dr	Too Long; Didn't Read
tl; dr	To Long; Didn't read
tl;dr	too long; didn't read
tla	Three Letter Acronym
tlc	tender loving care
tld	told
tldnr	too long
tldr	Too long
tlgo	The list goes on
tliwwv	this link is worthless without video
tlk	talk
tlk2me	talk to me
tlk2ul8r	talk to you later
tlkin	talking
tlkn	talking
tltpr	Too long to proof read.
tlyk	to let you know
tma	take my advice
tmaai	tell me all about it
tmai	tell me about it
tmbi	tell me about it
tmi	too much information
tmk	to my knowledge
tml	tell me later
tmmrw	tomorrow
tmnt	teenage mutant ninja turtles
tmo	take me out
tmoro	tomorrow
tmoz	tomorrow
tmr	tomorrow
tmr@ia	the monkeys are at it again
tmrrw	tomorrow
tmrw	Tomorrow
tmrz	tomorrow
tms	that makes sense
tmsaisti	That's my story and I'm sticking to it.
tmsg	tell me something good
tmsidk	tell me somthing I don't know
tmth	too much to handle
tmtmo	text me tomorrow
tmtoyh	Too Much Time On Your Hands
tmtt	tell me the truth
tmw	Too much work
tmwfi	Take my word for it
tmz	tomorrow
tn1	trust no
tnf	That's Not Funny
tnlnsl	Took nothing left nothing signed log
tnx	thanks
tnxz	thanks
tob	teacher over back
tofy	Thinking of You
toh	typing one handed
tok	That's ok
tok2ul8r	i'll talk to you later
tolol	thinking of laughing out loud
tomm	tommorow
tomoz	tomorrow
tos	terms of service
totl	total
totm	top of the morning
totp	talking on the phone
totpd	top of the page dance
tou	thinking of you
toya	thinking of you always
tp	toilet paper
tpb	the pirate bay
tpiwwp	this post is worthless without pictures
tps	test procedure specification
tptb	the powers that be
tq	Thank You
trble	trouble
trd	tired
trnsl8	translate
trnsltr	translator
troll	person who diliberately stirs up trouble
tru	TRUE
tsc	that's so cool
tsnf	that's so not fair
tss	That's so sweet
tstoac	too stupid to own a computer
tswc	tell someone who cares
tt4n	ta ta for now
ttbc	Try to be cool
ttbomk	to the best o fmy knowledge
ttc	text the cell
ttfaf	Through the Fire and Flames
ttfn	ta ta for now
tthb	try to hurry back
ttihlic	try to imagine how little i care
ttiuwiop	this thread is useless without pics
ttiuwop	this thread is useless without pics
ttiuwp	This Thread Is Useless Without Pictures
ttiwwop	This thread is worthless without pics
ttiwwp	this thread is worthless without pics
ttl	total
ttlly	totally
ttly	totally
ttm	talk to me
ttml	talk to me later
ttms	talking to myself
ttr	time to run
tts	text to speech
ttt	to the top
ttth	Talk To The Hand
tttt	to tell the truth
ttul	Talk To You Later
ttul8r	Talk to you later
ttus	talk to you soon
ttut	Talk to you Tomorrow
ttutt	to tell you the truth
tty	Talk to You
ttyab	Talk to you after breakfast
ttyad	Talk to you after Dinner
ttyal	Talk to you after lunch
ttyas	talk to you at school
ttyiam	talk to you in a minute
ttyitm	talk to you in the morning
ttyl	talk to you later
ttyl8r	talk to you later
ttylo	talk to you later on
ttylt	talk to you later today
ttyn	talk to you never
ttyna	talk to you never again
ttynl	talk to you never loser
ttynw	talk to you next week
ttyo	talk to you online
ttyotp	talk to you on the phone
ttyrs	talk to you really soon
ttys	talk to you soon
ttyt	talk to you tomorrow
ttytm	talk to you tomorrow
ttytt	to tell you the truth
ttyw	talk to you whenever
ttywl	Talk to you way later
tu	thank you
tuff	tough
tuh	to
tut	take your time
tuvm	thank you very much
tv	television
tvm	thanks very much
tw	Teacher Watching
twajs	That was a joke
twbc	that would be cool
twf	That was funny
twfaf	thats what friends are for
twg	That was great
twi	Texting While Intoxicated
twis	that's what I said
twoh	typing with one hand
tws2wa	That was so 2 weeks ago
twss	That's what she said
twsy	That was so yeterday
twttr	twitter
twvsoy	that was very stupid of you
twyl	Talk With You Later
twys	Talk With You Soon
tx	thanks
txs	thanks
txt	text
txting	texting
txtyl	text you later
ty	thank you
tyclos	turn your CAPS LOCK off
tyfi	Thank You for invite
tyfn	thank you for nothing
tyfyc	Thank You For Your Comment
tyfyt	Thank you for your time
tyl	text you later
tym	time
tyme	time
typ	thank you partner
typo	typing mistake
tyred	tired
tys	Told You So
tysm	thank you so much
tysvm	thank you so very much
tyt	take your time
tyto	take your top off
tyty	thank you thank you
tyvm	Thank You Very Much
tyvvm	thank you very very much
u	you
u iz a 304	you is a hoe
u'd	you would
u'll	you will
u'r	you're
u'v	you have
u've	You've
u/l	upload
u/n	username
u2	You too
u2u	up to you
u4i	up for it
ua	user agreement
uat	User Acceptance Testing
uayor	Use At Your Own Risk
ub3r	super
uber	over
uctaodnt	you can't teach an old dog new tricks
udc	you don't care
udek	you don't even know
udwk	you don't want to know
udy	you done yet
ufia	unsolicited finger in the anus
ufic	Unsolicited Finger in Chili
ugtr	you got that right
uhab	you have a blog
uhems	you hardly ever make sense
ui	User Interface
ukr	You know right
ukwim	you know what i mean
ul	unlucky
ulbom	you looked better on myspace
un2bo	you need to back off
un4rtun8ly	unfortunately
unt	until next time
uom	You owe me
upcia	unsolicited pool cue in anus
upia	unsolicited pencil in anus
upmo	You piss me off
upw	unidentified party wound
ur	your
ur2g	you are too good
ura	you are a
uradrk	you're a dork
uraqt	you are a cutie
urcrzy	you are crazy
ure	you are
urht	you're hot
url8	you are late
urms	you rock my socks
urmw	you are my world
urnc	you are not cool
urs	yours
ursh	you are so hot
urstpid	you are stupid
urstu	you are stupid
urtb	you are the best
urtbitw	You are the best in the world!
urtrd	you retard
urtw	you are the worst
urw	you are weird
uryyfm	you are too wise for me
usck	you suck
usd	United States Dollar
ussr	The Union of Soviet Socialist Republics
usuk	You Suck
usux	you suck
ut	unreal tournament
ut	you there
utm	you tell me
uttm	you talking to me?
utube	youtube
utw	used to work
uty	it's up to you
uve	You've
vb	visual basic
vbeg	very big evil grin
vbg	very big grin
vf	very funny
vfm	value for money
vgg	very good game
vgh	Very good hand
vgl	very good looking
vid	Video
vids	Videos
vip	very important person
vleo	Very Low Earth Orbit
vlog	video log
vn	very nice
vnc	Virtual Network Computing
vnh	Very nice hand
voip	voice over ip
vrsty	Varsity
vry	very
vwd	very well done
vweg	very wicked evil grin
vzit	visit
vzn	verizon
w'sup	what's up
w.b.s.	Write Back Soon
w.e	Whatever
w.e.	whatever
w.o.w	World of Warcraft
w.o.w.	world of warcraft
w/	with
w/b	write back
w/e	whatever
w/end	weekend
w/eva	whatever
w/o	with out
w/out	without
w/u	with you
w00t	woohoo
w012d	word
w2d	what to do
w2g	Way to go
w2ho	want to hang out
w2m	want to meet
w33d	weed
w8	wait
w8am	wait a minute
w8ing	waiting
w8t4me	wait for me
w8ter	waiter
w911	Wife in room
wad	without a doubt
wad ^	what's up?
wadr	with all due respect
wadzup	What's up?
wai	what an idiot
waloc	what a load of crap
walstib	what a long strange trip it's been
wam	wait a minute
wamh	with all my heart
wan2tlk	Want to talk
wana	want to
wanna	want to
wansta	wanna be ganster
warez	illegally obtained software
wasup	What's Up
was^	What's Up
wat	what
wat's^	Whats Up
watcha	what are you
watev	whatever
wateva	whatever 
watevr	whatever
watevs	whatever
wats	whats
wats ^	whats up
wats^	what's up?
watz ^	What's up
wau	what about you
waug	Where are you going
wauw	what are you wearing
wau^2	what are you up to?
waw	what a whore
waycb	when are you coming back
wayd	what are you doing
waygow	who are you going out with
wayh	why are you here
wayn	Where Are You Now
waysttm	why are you still talking to me
waysw	Why are you so weird
wayt	What are you thinking?
wayta	what are you talking about
wayut	what are you up to
waz	what is
waz ^	what's up
wazz	what's
wazza	what's up
wazzup	what's up
waz^	what's up?
wbagnfarb	would be a good name for a rock band
wbb	will be back
wbbs	will be back soon
wbrb	Will be right back
wbs	write back soon
wbu	what about you
wby	what about you
wc	who cares
wc3	Warcraft III
wcutm	what can you tell me
wcw	webcam whore
wd	well done
wdf	Worth Dying For
wdhlm	why doesnt he love me?
wdidn	what do i do now
wdim	What Did I miss
wdtm	what does that mean
wduc	what do you care
wdum	what do you mean
wdus	What Did You Say
wdut	what do you think?
wdutom	what do you think of me
wduw	what do you want
wduwta	what do you wanna talk about
wduwtta	what do you want to talk about
wdwdn	what do we do now
wdwgw	where did we go wrong
wdydt	why do you do that
wdye	What do you expect
wdyl	who do you like
wdym	what do you mean
wdys	What did you say
wdyt	what do you think
wdytia	who do you think i am?
wdyw	what do you want
wdywd	what do you want to do?
wdywtd	what do you want to do
wdywtdt	Why Do You Want To Do That?
wdywtta	what do you want to talk about
webby	webcam
weg	wicked evil grin
wen	when
werkz	works
wev	Whatever
weve	what ever
wevr	whatever
wfh	Working From Home
wfhw	what's for homework
wfm	Works For Me
wfyb	whatever floats your boat
wg	wicked gril
wgac	who gives a crap
wgo	what's going on
wgph2	Want to go play Halo 2?
wha	what?
whaddya	what do you
whaletail	thong
whatcha	what are you
whatev	whatever
whatevs	whatever
whats ^	whats up
what^	what's up?
whevah	where ever
whever	whatever
whf	Wanna have fun?
whit	with
whodi	friend
whr	where
wht	What
whteva	what ever
whteve	whatever
whtever	whatever
whtevr	whatever
whtvr	whatever
wht^	what up
whubu2	what have you been up to
whubut	what have you been up to
whut	what
whyb	where have you been
whyd	What Have You Done
wid	with
widout	without
wieu2	What Is Everyone Up To
wif	With
wiid	what if i did
wilco	will comply
winnar	winner
wio	without
wip	Work In progress
wit	with
witcha	with you
witu	with you
witw	what in the world
witwct	What is the world coming too
witwu	who is there with you
witwwyt	what in the world were you thinking
wiu	What is up?
wiv	with
wiw	wife is watching
wiwhu	wish I was holding you
wiwt	wish i was there 
wiyp	what is your problem
wjwd	What Jesus Would Do
wk	week
wkd	wicked
wkend	weekend
wl	will
wld	would
wlkd	walked
wlos	wife looking over Shoulder
wltm	would like to meet
wmgl	wish me good luck
wml	Wish Me Luck
wmyb	What Makes You Beautiful
wn	when
wna	want to
wnkr	wanker
wnrn	why not right now
wnt	want
wntd	what not to do
woa	word of advice
wochit	watch it
woe	what on earth
wogge	what on god's green earth?
wolo	we only live once
wombat	waste of money
woot	woohoo
wot	what
wotevs	whatever
wotv	What's on Television?
wotw	word of the week
woum	what's on your mind
wowzers	wow
woz	was
wp	wrong person
wpe	worst president ever (Bush)
wrd	word
wrdo	weirdo
wrk	work
wrm	which reminds me
wrng	wrong
wrt	with regard to
wrtg	writing
wrthls	Worthless
wru	where are you
wrud	what are you doing
wruf	where are you from
wruu2	what are you up to
wsb	wanna cyber?
wsi	why should I
wsibt	when should i be there
wsidi	Why Should I Do It
wsop	world series of poker
wswta	What shall we talk about?
wtb	Want to buy
wtbd	what's the big deal
wtc	what the crap
wtd	what the deuce
wtg	way to go
wtgp	Want to go Private
wth	what the heck
wtharud	what the heck are you doing
wthayd	what the heck are you doing
wtho	want to hang out?
wthru	Who the heck are you
wtii	what time is it
wtiiot	What time is it over there?
wtityb	whatever
wtmi	way too much information
wtmtr	what's the matter
wtp	where's the party
wtrud	what are you doing
wts	want to sell
wtt	want to trade
wttp	want to trade pictures?
wtv	Whatever
wtva	whatever
wtvr	whatever
wtwm	what time are we meeting?
wtwr	well that was random
wu	what's up
wu	what's up?
wu2kilu	want you to know I love you
wub	love
wubmgf	Will You Be My Girlfriend?
wubu2	what you been up to
wubut	what you been up too
wud	would
wudev	Whatever
wudn	what you doing now
wugowm	will you go out with me
wula	what you looking at?
wuld	would
wuny	wait until next year
wussup	What is up?
wut	what
wutb	What are you talking about
wutcha	What are you
wuteva	whatever
wutevr	what ever
wuts	what is
wutup	What's Up
wuu2	what you up too
wuu2	what you up to
wuu22m	what you up to tomorrow
wuut	what you up to
wuv	love
wuwh	Wish you were here
wuwt	what's up with that
wuwta	what do you want to talk about
wuwtab	what do you want to talk about
wuwtb	what do you want to talk about
wuwtta	what you want to talk about
wuwu	what up with you
wuz	was
wuza	what's up
wuzup	what's up
wwc	who would care
wwcnd	What would Chuck Norris do
wwe	World Wrestling Entertainment
wwhw	when where how why
wwikt	why would i know that
wwjd	what would jesus do?
wwt	what was that
wwtf	what was that for
wwudtm	what would you do to me
wwut	what were you thinking
www	world wide web
wwwy	what's wrong with you
wwy	where were you
wwycm	when will you call me
wwyd	what would you do?
wwyd2m	what would you do to me
wwyt	What were you thinking
wy	Why?
wyas	wow you are stupid
wyatb	wish you all the best
wyauimg	Why you all up in my grill?
wycm	Will You Call Me
wyd	what are you doing
wyg	will you go
wygac	when you get a chance
wygam	When you get a minute
wygowm	Will you go out with me
wygwm	will you go with me
wyhi	Would You Hit It?
wyltk	wouldn't you like to know
wylym	Watch Your Language Young Man
wym	What You Mean?
wyn	What's your name
wyp	what's your problem?
wypsu	will you please shut up
wys	wow you're stupid
wysiayg	what you see is all you get
wysitwirl	what you see is totally worthless in real life
wysiwyg	what you see is what you get
wyw	What You Want
wywh	wish you were here
wywo	while you were out
w\e	whatever
x treme	extreme
xb36t	Xbox 360
xbf	ex
xbl	xbox live
xcept	except
xcpt	except
xd	extreme droll
xellent	excellent
xfer	transfer
xgf	exgirlfriend
xing	crossing
xit	Exit
xl	extra large
xlnt	Excellent
xmas	christmas
xmpl	example
xoac	Christ on a crutch
xor	hacker
xover	crossover
xox	hugs and kisses
xoxo	hugs and kisses
xp	experience
xpect	expect
xplaned	explained
xpt	except
xroads	crossroads
xs	excess
xtc	ecstasy
xtra	extra
xtreme	extreme
xyz	examine your zipper
xyzpdq	Examine Your Zipper Pretty Darn Quick
y	why
y!a	yahoo answers
y'all	you all
y/n	yes or no
y/o	Years Old
y00	you
y2b	Youtube
y2k	year 2000
ya	yeah
yaagf	you are a good friend
yaai	You are an idiot
yall	you all
yapa	yet another pointless acronym
yarly	yeah really
yas	you are stupid
yasan	You are such a nerd
yasf	you are so funny
yasw	you are so weird
yatb	you are the best
yatwl	you are the weakest link
yayo	cocaine
ybbg	Your Brother By Grace
ybs	you'll be sorry
ycliu	You could look it up
ycntu	Why Cant You?
yctwuw	you can think what you want
ydtm	You're dead to me
yduwtk	why do you want to know
ye	yeah
yea	yeah
yer	you're
yermom	your mother
yesh	yes
yew	you
ygg	you go girl
ygm	You Got Mail
ygp	you got punked!
ygpm	you've got a private message
ygrr	you got rick rolled
ygtbk	you've got to be kidding
ygtbkm	you got to be kidding me
yh	yeah
yhbt	you've been trolled
yhew	you
yhf	you have failed
yhl	you have lost
yhm	You have mail
yhpm	you have a private messge
yhtbt	You Had To Be There
yid	yes
yim	yahoo instant messenger
yiwtgo	Yes
yk	you kidding
yki	You know it
ykisa	Your knight in shining armor
ykm	You're killing me
ykn	you know nothing
ykw	You Know What
ykwim	you know what I mean
ykwya	you know who you are
ykywywm	you know you wish you were me
ym	your mom
ymbkm	you must be kidding me
yme	why me
ymfp	Your Most Favorite Person
ymg2c	your mom goes to college
ymgtc	Your Mom Goes To college
ymiaw	your mom is a whore
ymislidi	you make it sound like i did it
ymmd	You Made My Day
ymmv	your mileage may vary
yn	why not
yng	young
ynk	you never know
ynm	yes
ynt	why not
ynw	you know what
yo	year old
yo'	your
yodo	you only die once
yolo	you only live once
yolt	you only live twice
yomank	you owe me a new keyboard
yooh	you
yor	your
youngin	young person
yoy	why oh why
ypmf	you pissed me off
ypmo	you piss me off
ypom	your place or mine
yr	year
yrbk	Yearbook
yrms	You Rock My Socks
yrs	years
yrsaf	You Are Such A Fool 
yrsm	you really scare me
yru	why are you?
